"","Value.added..gross","Gross.domestic.product.at.market.prices","Taxes.less.subsidies.on.products","Household.and.NPISH.final.consumption.expenditure","Final.consumption.expenditure.of.general.government","Gross.fixed.capital.formation","Exports.of.goods","Exports.of.services","Imports.of.goods","Imports.of.services","Changes.in.inventories.and.acquisitions.less.disposals.of.valuables","Operating.surplus.and.mixed.income..gross","Compensation.of.employees","Taxes.on.production.and.imports.less.subsidies"
"1",463895,515500,51605,290903,94482,110529,132387,20634,114315,32297,13177,208685,258160,48655
"2",470274,523900,53626,301126,94255,123876,138056,22067,119972,35487,-21,203898,269839,50163
"3",484390,536120,51730,304409,95976,125243,137806,22643,123348,41549,14940,209603,278823,47694
"4",490678,540960,50282,312989,110314,126888,153952,24956,140504,39334,-8301,182640,313704,44616
"5",478003,530610,52607,301064,95966,110377,150503,21313,126709,36310,14406,215950,264669,49991
"6",483570,537700,54130,311536,96066,121687,150863,23277,128151,38386,808,211695,274738,51267
"7",499141,551580,52439,314069,98037,120520,146600,23833,120262,44452,13235,220980,281259,49341
"8",509216,559960,50744,323678,114580,119913,151258,27086,122826,39194,-14535,197753,317063,45144
"9",481395,533820,52425,302248,98470,100877,145605,24121,110810,35650,8959,216630,266945,50245
"10",492345,545370,53025,311208,99138,114190,154589,26348,119574,37333,-3196,218488,276312,50570
"11",511184,565210,54026,316175,101287,114427,152915,27703,114830,42873,10406,229702,284090,51418
"12",513420,564890,51470,326922,117111,113224,158740,29634,124536,37391,-18814,200868,317411,46611
"13",483757,537940,54183,308929,99879,96996,151984,23442,121926,34827,13463,218019,267996,51925
"14",490884,545670,54786,319182,100342,110404,151614,25364,121089,36544,-3603,216153,276734,52783
"15",514966,568360,53394,322985,103906,112942,155045,25912,117086,44157,8813,232398,284808,51154
"16",515457,568110,52653,329776,116665,112761,161035,29161,129558,37030,-14700,201807,316679,49624
"17",497614,552710,55096,313692,100451,97249,165613,26402,124751,35437,9491,229710,269603,53397
"18",510139,562540,52401,323711,100971,110656,174422,29278,130617,38976,-6905,233066,278803,50671
"19",523467,576790,53323,327115,102926,112862,168901,30138,133206,44454,12508,240848,284119,51823
"20",526406,578580,52174,338532,114605,114205,177145,33000,144342,38660,-15905,213154,315897,49529
"21",499784,553310,53526,316913,100692,93518,173553,28876,130854,37011,7623,232512,269058,51740
"22",519033,572460,53427,332354,102692,113071,184984,30785,144412,40432,-6582,241989,278147,52324
"23",532009,587360,55351,336575,103765,113907,186089,32694,145417,48535,8282,249446,283153,54761
"24",531260,587730,56470,342709,115847,118265,195328,36046,162257,43020,-15188,221742,315519,50469
"25",521539,578060,56521,326721,103720,100889,202526,31866,162845,40786,15969,252891,270364,54805
"26",532590,588460,55870,339515,103885,120463,203465,35655,167133,42475,-4915,251232,282368,54860
"27",553118,609480,56362,343139,105126,123257,207883,36399,168621,50165,12462,263903,289902,55675
"28",557725,617250,59525,353462,117667,129762,227609,40385,181438,45518,-24679,242838,322653,51759
"29",548321,612320,63999,330850,105736,113815,228184,34646,178221,42388,19698,271455,278430,62435
"30",556832,618050,61218,345128,106302,127510,229260,38027,178983,45303,-3891,265562,290913,61575
"31",578087,640760,62673,350458,107242,129477,231147,39558,179753,54259,16890,281826,296361,62573
"32",578120,642100,63980,358464,120460,134769,238188,41928,187831,47088,-16790,254021,331366,56713
"33",566116,631100,64984,339472,109441,116753,240132,37911,188016,44537,19944,279107,288808,63185
"34",580571,643190,62619,355788,111659,135280,247030,40514,191908,48467,-6706,278154,302185,62851
"35",587993,652180,64187,360562,111574,135004,238664,41557,196801,55690,17310,280746,307195,64239
"36",569985,635270,65285,360912,124892,133772,222909,44612,187486,47364,-16977,234388,343085,57797
"37",534326,598060,63734,340721,115948,104696,189174,37382,161698,40731,12568,242437,293711,61912
"38",539641,601830,62189,355190,116749,119554,182829,39378,148581,43905,-19384,237312,303216,61302
"39",564824,627800,62976,356028,118741,122963,192732,39896,156421,50526,4387,259225,307390,61185
"40",568445,632590,64145,361102,129769,124208,205658,42991,162518,44138,-24482,234923,341346,56321
"41",558614,620070,61456,343307,120536,105881,209347,38277,170898,42505,16125,262621,298424,59025
"42",570192,634280,64088,360677,119221,129570,228227,42531,189308,49385,-7253,259255,312055,62970
"43",594584,660590,66006,367336,120803,132777,233954,43982,193326,56237,11301,278136,317420,65034
"44",598305,665120,66815,374954,132776,133221,246812,46955,203664,50659,-15275,251615,354064,59441
"45",593769,662940,69171,357094,122554,122382,254799,41723,212415,47427,24230,283778,311528,67634
"46",598278,665880,67602,372922,123197,139723,257328,43389,217690,51529,-1460,270824,327271,67785
"47",620147,689120,68973,380325,123493,142472,258235,45522,216922,59790,15785,289729,330546,68845
"48",615884,685180,69296,385192,136447,143244,259749,50744,219649,53922,-16625,254852,367928,62400
"49",611745,682730,70985,371175,125254,128130,271344,45106,220997,52017,14735,288933,323239,70558
"50",610451,678150,67699,382995,126423,141067,267629,48131,216941,55341,-15813,268710,340568,68872
"51",631172,701300,70128,389285,127360,143299,268582,50152,215565,64874,3061,287211,343251,70838
"52",625228,696080,70852,394574,140676,142250,263869,53505,217535,57061,-24198,249482,381774,64824
"53",614939,685460,70521,373725,131463,120848,266386,46362,214035,56365,17076,282657,332862,69941
"54",628511,698330,69819,390873,131031,142659,270854,49928,215802,60181,-11032,278324,349372,70634
"55",651074,723160,72086,399961,133324,146205,269726,52458,218985,68955,9426,297653,352732,72775
"56",648104,719290,71186,401097,146414,147407,272840,56190,219342,62688,-22628,261256,392566,65468
"57",643445,716380,72935,380614,135858,134217,273113,50628,220816,57026,19792,297731,346268,72381
"58",646824,718530,71706,397711,136057,148326,274589,53788,220286,61133,-10522,283279,362943,72308
"59",671343,744380,73037,406561,137716,150592,282058,55242,221742,70830,4783,304467,365957,73956
"60",669656,744640,74984,409475,151422,152012,285026,60389,225424,66849,-21411,267561,407659,69420
"61",664270,739410,75140,389744,140332,136205,288571,55284,228134,60114,17522,307632,357124,74654
"62",672831,745990,73159,407607,141697,151804,298030,58733,228628,65490,-17763,295157,376762,74071
"63",695599,771660,76061,417711,142887,155333,298199,60077,230174,76182,3809,314693,379663,77304
"64",696962,775760,78798,420912,158784,160478,295267,64628,229961,70567,-23781,277690,423415,74655
"65",684846,763180,78334,399941,149349,142497,290093,56289,225311,63090,13412,313507,372241,77432
"66",704959,780760,75801,421015,150560,161147,306173,60377,227798,68568,-22146,312870,389609,78281
"67",716158,794070,77912,427947,150337,159942,297221,61264,228349,78174,3882,321559,393807,78704
"68",716227,796060,79833,432576,165084,162478,303669,67127,239627,72541,-22706,282033,439598,74429
"69",709841,791260,81419,412935,154452,149905,317234,57845,251625,64870,15384,322518,387307,81435
